Date,AAPL,ABNB,ADBE,ADI,ADP,ADSK,AEP,AMAT,AMD,AMGN,AMZN,ANSS,APP,ARM,ASML,AVGO,AXON,AZN,BIIB,BKNG,BKR,CCEP,CDNS,CDW,CEG,CHTR,CMCSA,COST,CPRT,CRWD,CSCO,CSGP,CSX,CTAS,CTSH,DASH,DDOG,DXCM,EA,EXC,FANG,FAST,FTNT,GEHC,GFS,GILD,GOOG,GOOGL,HON,IDXX,INTC,INTU,ISRG,KDP,KHC,KLAC,LIN,LRCX,LULU,MAR,MCHP,MDB,MDLZ,MELI,META,MNST,MRVL,MSFT,MSTR,MU,NFLX,NVDA,NXPI,ODFL,ON,ORLY,PANW,PAYX,PCAR,PDD,PEP,PLTR,PYPL,QCOM,REGN,ROP,ROST,SBUX,SNPS,TEAM,TMUS,TSLA,TTD,TTWO,TXN,VRSK,VRTX,WBD,WDAY,XEL,ZS
2023-01-03,123.63252258300781,84.9000015258789,336.9200134277344,156.7550811767578,227.38626098632812,185.14999389648438,86.77769470214844,94.88052368164062,64.0199966430664,243.50082397460938,85.81999969482422,238.63999938964844,10.729999542236328,,539.8383178710938,53.39711380004883,168.24000549316406,65.52056884765625,272.6300048828125,2014.349853515625,27.223514556884766,51.22343444824219,159.63999938964844,175.3489227294922,80.36631774902344,341.5799865722656,33.525760650634766,436.83380126953125,30.729999542236328,103.27999877929688,44.742984771728516,77.6500015258789,30.033775329589844,105.98987579345703,55.51119613647461,48.36000061035156,72.08999633789062,114.7300033569336,121.41104125976562,39.62312698364258,119.176513671875,44.644683837890625,48.52000045776367,55.828792572021484,51.70000076293945,78.98649597167969,89.37884521484375,88.79810333251953,205.28656005859375,406.010009765625,25.775144577026367,385.3983154296875,265.6300048828125,33.54804992675781,37.21969223022461,367.9263916015625,310.22283935546875,35.94757080078125,323.3800048828125,144.7672576904297,65.76567077636719,190.75,63.049381256103516,826.1099853515625,124.26531219482422,50.65999984741211,35.65620040893555,235.24002075195312,14.501999855041504,49.810665130615234,294.95001220703125,14.304594993591309,150.00534057617188,139.91632080078125,61.61000061035156,840.719970703125,69.2249984741211,108.35442352294922,60.0394287109375,84.52999877929688,168.99172973632812,6.389999866485596,74.58000183105469,102.3872299194336,719.5452880859375,428.79949951171875,113.35336303710938,95.72798919677734,319.67999267578125,126.5,136.423095703125,108.0999984741211,44.02000045776367,103.11000061035156,152.7312469482422,175.1954345703125,286.0199890136719,9.539999961853027,169.35000610351562,65.24539184570312,110.19000244140625
2023-01-04,124.90769958496094,88.72000122070312,341.4100036621094,160.09378051757812,228.45787048339844,187.9600067138672,87.37223815917969,97.41120147705078,64.66000366210938,246.0507354736328,85.13999938964844,242.94000244140625,10.899999618530273,,560.7218627929688,54.04928970336914,168.75999450683594,65.68122863769531,270.80999755859375,2091.89208984375,26.409175872802734,52.44842529296875,159.22999572753906,176.950927734375,81.83805084228516,354.0,34.48714828491211,439.99481201171875,30.989999771118164,104.36499786376953,44.73358154296875,78.0,30.42281723022461,104.77180480957031,55.96422576904297,48.93000030517578,68.95999908447266,114.33000183105469,123.59603118896484,40.14641189575195,118.48709106445312,45.18155288696289,48.29999923706055,60.30506896972656,52.90999984741211,79.08824920654297,88.39240264892578,87.76185607910156,201.20570373535156,422.42999267578125,26.69120979309082,385.7825927734375,270.0,33.82171630859375,37.63954162597656,371.5221252441406,308.68316650390625,36.65558624267578,320.9800109863281,146.8346710205078,67.37411499023438,187.2100067138672,63.50620651245117,837.4400024414062,126.88531494140625,51.07500076293945,36.27044677734375,224.9498748779297,16.506000518798828,53.598140716552734,309.4100036621094,14.738280296325684,152.82066345214844,143.02149963378906,62.20000076293945,826.739990234375,69.2699966430664,109.5333023071289,59.905235290527344,91.05999755859375,168.5772705078125,6.579999923706055,77.69000244140625,106.5228500366211,725.5576171875,436.9716491699219,115.4476089477539,99.17430877685547,320.92999267578125,126.4000015258789,137.32579040527344,113.63999938964844,44.310001373291016,106.7699966430664,158.30860900878906,178.07025146484375,286.8299865722656,10.380000114440918,171.22000122070312,65.80406951904297,111.58999633789062
2023-01-05,123.58308410644531,87.70999908447266,328.44000244140625,154.09181213378906,223.53048706054688,182.07000732421875,85.7806625366211,96.04778289794922,62.33000183105469,248.34938049316406,83.12000274658203,231.64999389648438,9.850000381469727,,555.3093872070312,53.54568862915039,165.74000549316406,65.97419738769531,271.5899963378906,2126.0888671875,27.270858764648438,52.693424224853516,156.8000030517578,173.93252563476562,80.85690307617188,361.42999267578125,34.85472869873047,433.8559265136719,30.274999618530273,94.88999938964844,44.103267669677734,74.9000015258789,30.06295394897461,102.3403549194336,55.49191665649414,47.130001068115234,63.5,111.69000244140625,123.269775390625,39.274261474609375,121.58941650390625,43.60861587524414,47.45000076293945,58.819618225097656,51.02000045776367,79.4120101928711,86.45934295654297,85.88864135742188,195.86997985839844,419.20001220703125,26.57549476623535,370.0682678222656,268.6199951171875,33.48957824707031,37.721675872802734,364.91693115234375,297.69110107421875,36.18704605102539,325.92999267578125,145.87448120117188,65.76567077636719,172.17999267578125,62.992286682128906,856.0900268554688,126.45694732666016,50.189998626708984,34.41475296020508,218.2828826904297,15.656000137329102,54.102474212646484,309.70001220703125,14.254632949829102,148.5154266357422,139.4012451171875,59.7400016784668,834.2899780273438,67.55500030517578,106.9977798461914,59.64295196533203,95.43000030517578,166.8158721923828,6.320000171661377,76.2699966430664,104.48848724365234,722.8311157226562,430.2404479980469,115.86841583251953,99.14582061767578,315.0400085449219,119.97000122070312,141.76071166992188,110.33999633789062,42.59000015258789,105.95999908447266,156.21241760253906,175.4918212890625,287.8900146484375,10.859999656677246,160.19000244140625,64.4725341796875,104.38999938964844
2023-01-06,128.13021850585938,88.5199966430664,332.75,159.7174530029297,229.7781982421875,187.19000244140625,88.29609680175781,102.27635955810547,63.959999084472656,256.1109313964844,86.08000183105469,239.41000366210938,9.720000267028809,,585.2987060546875,56.768924713134766,170.89999389648438,66.90980529785156,279.25,2160.09765625,28.3692684173584,53.55092239379883,159.66000366210938,178.9729461669922,81.92634582519531,367.7300109863281,35.71242904663086,465.3502197265625,31.19499969482422,94.72000122070312,45.45797348022461,77.12000274658203,31.317604064941406,104.32564544677734,57.59322738647461,48.0,64.13999938964844,115.81999969482422,122.48870086669922,40.0913200378418,125.30857849121094,44.84247589111328,48.689998626708984,58.769771575927734,52.75,81.47477722167969,87.84437561035156,87.02452087402344,201.42604064941406,447.7699890136719,27.703699111938477,380.80718994140625,270.3900146484375,34.41008377075195,38.87166976928711,388.4845886230469,308.0887145996094,38.63474655151367,329.260009765625,150.28358459472656,69.2585678100586,169.82000732421875,64.73387145996094,873.469970703125,129.5252227783203,51.21500015258789,35.82388687133789,220.85537719726562,16.045000076293945,56.13960266113281,315.54998779296875,14.848200798034668,154.43630981445312,148.9198455810547,62.470001220703125,842.52001953125,67.42500305175781,109.88883972167969,61.1922721862793,95.95999908447266,170.58358764648438,6.400000095367432,76.4800033569336,110.16178894042969,736.2039794921875,438.57672119140625,118.97061920166016,101.29146575927734,320.5400085449219,121.27999877929688,145.77374267578125,113.05999755859375,42.290000915527344,104.75,163.91400146484375,180.66845703125,290.2099914550781,11.319999694824219,161.13999938964844,66.38138580322266,103.95999908447266
2023-01-09,128.6541290283203,89.23999786376953,341.9800109863281,161.24205017089844,229.1562957763672,192.47000122070312,89.594970703125,104.45392608642578,67.23999786376953,251.3832550048828,87.36000061035156,247.99000549316406,10.180000305175781,,610.32763671875,55.655601501464844,177.4499969482422,67.00430297851562,274.7200012207031,2189.0009765625,28.918474197387695,53.12688446044922,165.9199981689453,179.69577026367188,82.41691589355469,367.17999267578125,35.391971588134766,461.37969970703125,31.219999313354492,96.56999969482422,45.70257568359375,77.08000183105469,31.259248733520508,104.17693328857422,58.66315841674805,48.04999923706055,65.94000244140625,110.05999755859375,122.76554870605469,40.53199768066406,128.34739685058594,45.16271209716797,49.40999984741211,57.92237091064453,55.380001068115234,78.71825408935547,88.4820785522461,87.70206451416016,201.80923461914062,448.0799865722656,28.262981414794922,390.28448486328125,264.92999267578125,34.19181823730469,38.515724182128906,398.97857666015625,313.7016906738281,39.2559928894043,298.6600036621094,149.45074462890625,70.23888397216797,178.07000732421875,63.9915657043457,897.3099975585938,128.97731018066406,50.57500076293945,36.63762283325195,223.00572204589844,17.500999450683594,55.734153747558594,315.1700134277344,15.616641998291016,155.7327117919922,151.72789001464844,64.6500015258789,828.7100219726562,67.54000091552734,109.85140991210938,60.868988037109375,95.5199966430664,168.91636657714844,6.5,77.08000183105469,109.46455383300781,679.6166381835938,438.3197021484375,116.19137573242188,99.44014739990234,325.95001220703125,127.16999816894531,145.96998596191406,119.7699966430664,43.9900016784668,105.0999984741211,165.33642578125,179.84848022460938,283.2300109863281,11.609999656677246,162.92999267578125,67.02388763427734,104.75
2023-01-10,129.22747802734375,88.54000091552734,338.70001220703125,163.28773498535156,230.37136840820312,193.42999267578125,88.98212432861328,105.97427368164062,68.05000305175781,254.8824920654297,89.87000274658203,248.39999389648438,10.369999885559082,,622.174072265625,55.46651077270508,179.3300018310547,67.66584014892578,281.4599914550781,2201.430908203125,29.230955123901367,52.7688102722168,164.32000732421875,182.05970764160156,81.5142593383789,374.6400146484375,35.70301055908203,463.9335021972656,30.809999465942383,95.66999816894531,45.918949127197266,77.83000183105469,31.512123107910156,105.04092407226562,59.000526428222656,48.040000915527344,66.7699966430664,110.87999725341797,122.61723327636719,40.10968780517578,128.7646942138672,45.68074035644531,48.41999816894531,59.816558837890625,55.40999984741211,80.60527801513672,88.92050170898438,88.10062408447266,202.4510498046875,469.1099853515625,28.388338088989258,383.70965576171875,271.3599853515625,33.86916732788086,38.63438034057617,406.73675537109375,313.808837890625,39.792213439941406,309.4800109863281,150.0680389404297,71.80924224853516,182.08999633789062,64.05817413330078,915.780029296875,132.48391723632812,50.26499938964844,36.7269287109375,224.70437622070312,19.0,56.57471466064453,327.5400085449219,15.89743709564209,160.66676330566406,151.841796875,64.2699966430664,826.8800048828125,67.09500122070312,109.75785064697266,61.29597473144531,94.08999633789062,167.5223388671875,6.699999809265137,77.91999816894531,111.66129302978516,698.052978515625,438.36907958984375,117.22869110107422,100.63639068603516,327.6300048828125,132.16000366210938,146.74508666992188,118.8499984741211,44.84000015258789,105.52999877929688,166.9459991455078,181.3204803466797,288.75,12.5600004196167,160.2100067138672,67.14493560791016,104.97000122070312
2023-01-11,131.95574951171875,94.44000244140625,342.92999267578125,163.83775329589844,234.45681762695312,199.92999267578125,89.30226135253906,107.95565795898438,69.05999755859375,253.9797821044922,95.08999633789062,252.16000366210938,10.760000228881836,,633.26416015625,55.77619552612305,181.42999267578125,66.57903289794922,285.0299987792969,2205.25732421875,29.193077087402344,52.79707717895508,168.47000122070312,186.16233825683594,82.52484893798828,378.42999267578125,35.768978118896484,466.7378845214844,31.18000030517578,97.0,46.29525375366211,80.75,31.56075096130371,107.16311645507812,59.280059814453125,51.79999923706055,69.02999877929688,106.16000366210938,124.68359375,40.5228157043457,129.02777099609375,46.2458610534668,48.79999923706055,64.79129028320312,57.06999969482422,80.65151977539062,91.92969512939453,91.18942260742188,203.37066650390625,463.0199890136719,28.783693313598633,390.2548522949219,259.9599914550781,33.945091247558594,38.84429168701172,409.5507507324219,321.2051086425781,40.285919189453125,311.9599914550781,155.27084350585938,71.76165771484375,188.82000732421875,64.30561828613281,936.7999877929688,132.38430786132812,50.845001220703125,38.12614059448242,231.49903869628906,19.47599983215332,57.415283203125,327.260009765625,15.98936939239502,163.24024963378906,155.05096435546875,64.62999725341797,825.5,68.3550033569336,111.97528076171875,61.64366149902344,93.0199966430664,167.71070861816406,6.980000019073486,78.54000091552734,113.07485961914062,709.0288696289062,446.9197692871094,116.9840316772461,100.92120361328125,334.3500061035156,141.77999877929688,145.99940490722656,123.22000122070312,47.310001373291016,105.26000213623047,167.3858184814453,184.2150421142578,292.25,12.600000381469727,163.9199981689453,67.768798828125,108.05000305175781
2023-01-12,131.876708984375,98.48999786376953,344.5400085449219,162.7570037841797,233.70095825195312,199.9600067138672,88.18633270263672,108.09298706054688,70.80000305175781,252.1278076171875,95.2699966430664,251.97000122070312,10.680000305175781,,641.004638671875,56.142799377441406,184.0800018310547,66.22936248779297,288.0799865722656,2236.936279296875,29.827503204345703,52.853614807128906,168.05999755859375,188.9071807861328,82.7505111694336,385.4700012207031,36.466453552246094,464.92608642578125,31.280000686645508,97.9800033569336,46.09770202636719,80.31999969482422,31.59965705871582,105.33836364746094,62.75010681152344,52.029998779296875,69.20999908447266,107.13999938964844,124.99007415771484,39.825096130371094,131.83074951171875,46.17050552368164,48.400001525878906,65.44928741455078,58.290000915527344,79.29175567626953,91.58094787597656,90.80083465576172,206.8958740234375,469.7099914550781,29.207977294921875,391.6270751953125,256.94000244140625,33.75529098510742,38.725643157958984,409.47265625,320.51324462890625,40.783966064453125,314.989990234375,156.7601776123047,71.60939025878906,190.61000061035156,63.53475570678711,1024.31005859375,136.1897735595703,50.02000045776367,39.009342193603516,234.1894073486328,21.017000198364258,56.63404846191406,330.1300048828125,16.49899673461914,164.67205810546875,155.13514709472656,64.93000030517578,810.8499755859375,68.30000305175781,112.13433837890625,61.84494400024414,93.45999908447266,165.57254028320312,7.010000228881836,79.77999877929688,116.1312026977539,713.6528930664062,446.0499267578125,116.21092224121094,100.49398040771484,333.1000061035156,146.47999572753906,147.08851623535156,123.55999755859375,46.70000076293945,104.29000091552734,166.69334411621094,180.74746704101562,296.25,13.149999618530273,163.58999633789062,66.99594116210938,104.66000366210938
2023-01-13,133.2111358642578,100.37000274658203,344.3800048828125,163.05616760253906,234.75340270996094,200.58999633789062,86.750244140625,107.86737823486328,71.0,252.88160705566406,98.12000274658203,254.10000610351562,10.8100004196167,,648.0082397460938,55.859161376953125,188.1300048828125,67.1744155883789,288.0400085449219,2281.11474609375,29.950599670410156,53.042076110839844,169.25999450683594,190.3333282470703,83.5550537109375,388.4700012207031,36.69266128540039,467.643798828125,31.40999984741211,99.52999877929688,45.984806060791016,81.05000305175781,31.531574249267578,105.97335815429688,61.747642517089844,52.34000015258789,70.47000122070312,108.47000122070312,124.04094696044922,39.825096130371094,131.7490997314453,45.98213577270508,48.869998931884766,65.23992919921875,59.13999938964844,79.80049896240234,92.46775817871094,91.78726196289062,207.4993896484375,479.0799865722656,29.03440284729004,388.18170166015625,258.8999938964844,33.86916732788086,38.716514587402344,410.42041015625,325.5804443359375,41.09892654418945,315.4700012207031,158.51402282714844,71.30482482910156,197.52999877929688,63.82025146484375,1082.9200439453125,136.45872497558594,51.040000915527344,40.35893630981445,234.89637756347656,21.69700050354004,56.29782485961914,332.82000732421875,16.886716842651367,166.22972106933594,156.1751708984375,65.1500015258789,815.469970703125,69.43000030517578,112.5647201538086,62.62571716308594,97.0,165.0638885498047,6.960000038146973,79.4800033569336,114.841796875,721.2032470703125,445.8027648925781,117.44398498535156,101.80414581298828,332.9700012207031,148.0,146.86282348632812,122.4000015258789,47.029998779296875,105.02999877929688,167.51681518554688,181.72552490234375,300.94000244140625,13.140000343322754,167.14999389648438,66.2696533203125,107.30000305175781
2023-01-17,134.37759399414062,101.2699966430664,344.3800048828125,161.05870056152344,226.54429626464844,200.6999969482422,86.76853942871094,107.31809997558594,71.58999633789062,250.7318572998047,96.05000305175781,252.67999267578125,10.899999618530273,,646.5348510742188,55.88232421875,184.47000122070312,66.85309600830078,289.5899963378906,2313.507568359375,29.808565139770508,53.82418441772461,172.97000122070312,193.0391387939453,81.79879760742188,388.3500061035156,36.70207977294922,469.1086120605469,31.549999237060547,104.43000030517578,45.2321891784668,79.62000274658203,31.706642150878906,105.01968383789062,60.687355041503906,54.470001220703125,73.05999755859375,109.51000213623047,122.30086517333984,39.62312698364258,132.1935577392578,45.417015075683594,50.099998474121094,63.136383056640625,59.040000915527344,79.00501251220703,91.8300552368164,90.96025848388672,203.31320190429688,480.19000244140625,28.54262351989746,385.210205078125,261.7300109863281,33.90712356567383,38.63438034057617,406.4241027832031,321.5754089355469,40.86638259887695,323.82000732421875,157.73995971679688,70.89556884765625,202.83999633789062,63.78217697143555,1070.0,134.8448944091797,51.084999084472656,40.7161865234375,235.9960479736328,23.591999053955078,56.21870803833008,326.2200012207031,17.68913459777832,164.78819274902344,155.79383850097656,65.87000274658203,809.739990234375,71.0,110.79638671875,61.979129791259766,94.8499984741211,165.83624267578125,7.070000171661377,80.18000030517578,114.8800048828125,727.175537109375,439.9507751464844,117.19933319091797,101.34843444824219,337.29998779296875,152.91000366210938,144.21365356445312,131.49000549316406,47.06999969482422,104.54000091552734,164.13861083984375,179.3743133544922,311.9800109863281,13.229999542236328,166.69000244140625,66.1951675415039,113.51000213623047
